"24","Cuando pasamos una variable de tipo primitivo (`int`, `double`) a una función, ¿qué recibe la función?","La dirección de memoria de la variable original.","Una copia exacta del valor (fotocopia); la original no se modifica.","Una referencia al objeto contenedor.","Acceso directo para modificar la variable del main.","20","2"
"25","¿Qué sucede si modificamos el contenido de un array pasado como parámetro dentro de una función?","Solo se modifica la copia local de la función.","El array original se ve afectado, ya que se pasa la dirección de memoria (referencia).","Java impide modificar arrays dentro de funciones.","El array se duplica automáticamente para evitar efectos secundarios.","20","2"
"26","¿Qué indica el Principio de Responsabilidad Única al crear funciones?","Que una función debe tener al menos 100 líneas de código.","Que una función debe hacer una sola cosa y hacerla bien.","Que solo debe haber una función en todo el programa.","Que una función no debe llamar a otras funciones.","20","2"
"27","En la declaración `public static int sumar(int a, int b)`, ¿qué indica `int` antes del nombre `sumar`?","El tipo de los parámetros que recibe.","El tipo de dato que la función devuelve al terminar.","Que la función es interna.","El número de veces que se puede llamar.","20","2"
"28","¿Para qué sirven los comentarios tipo Javadoc (`/** ... */`) antes de una función?","Para que el compilador ejecute esa parte más rápido.","Para documentar qué hace la función, sus parámetros y qué devuelve.","Para comentar código que no queremos que se ejecute.","Para definir variables globales.","20","2"
"29","¿Qué significa la ""composición de funciones""?","Escribir funciones una debajo de otra sin orden.","Construir operaciones complejas haciendo que unas funciones llamen a otras (delegación).","Mezclar código Java con código C++.","Declarar funciones dentro de bucles.","20","2"
"30","¿Qué hace la instrucción `return` dentro de una función?","Imprime un valor por pantalla.","Reinicia la función desde el principio.","Devuelve el resultado calculado a quien llamó a la función y termina su ejecución.","Declara el tipo de dato de la función.","20","3"
"31","¿Cuál es una limitación principal de los Arrays estáticos frente a las Colecciones del JCF?","Los arrays son más lentos leyendo datos.","Tienen un tamaño fijo definido al crearse y no se pueden redimensionar.","Solo pueden almacenar objetos, no primitivos.","No permiten acceder a los elementos por índice.","20","2"
"32","¿Cuál de las siguientes es una interfaz raíz del Java Collection Framework?","ArrayList","Collection","HashMap","Collections","20","2"
"33","¿Por qué necesitamos clases Wrapper como `Integer` o `Double` en las colecciones?","Para poder usar decimales.","Porque las colecciones en Java solo pueden almacenar referencias a Objetos, no tipos primitivos.","Para que ocupen menos memoria.","Para ordenar la lista automáticamente.","20","2"
"34","¿Qué característica define a una estructura de tipo `List`?","No permite elementos duplicados.","Almacena parejas de Clave-Valor.","Es una colección ordenada (secuencia) que permite duplicados y acceso por posición.","No garantiza ningún orden de almacenamiento.","20","3"
"35","¿En qué situación es teóricamente más eficiente `LinkedList` que `ArrayList`?","Para acceder a un elemento por su índice (`get`).","Para insertar o eliminar elementos en medio de la lista.","Para ordenar la lista.","Para almacenar tipos primitivos directamente.","20","2"
"36","¿Cuál es la característica principal de un `Set` (como `HashSet`)?","Mantiene los elementos siempre ordenados alfabéticamente.","No permite elementos duplicados.","Permite acceder a los elementos mediante un índice numérico.","Es más lento que una lista para comprobar si existe un elemento.","20","2"
"37","¿Qué almacena una estructura de tipo `Map`?","Elementos individuales ordenados.","Elementos únicos sin orden.","Pares de objetos: una Clave (única) y un Valor (puede repetirse).","Cadenas de caracteres exclusivamente.","20","3"
"38","En un `HashMap`, ¿qué ocurre si hacemos `put(""clave1"", ""valor2"")` cuando ""clave1"" ya existía?","Se lanza un error de ejecución.","Se añade una segunda entrada con la misma clave.","Se sobrescribe el valor antiguo asociado a esa clave con el nuevo valor.","Se ignora la operación y se mantiene el valor antiguo.","20","3"
"39","¿Por qué se recomienda usar un `Iterator` para borrar elementos mientras recorremos una lista?","Porque es más rápido que un bucle for.","Para evitar errores como `ConcurrentModificationException` al modificar la estructura mientras se recorre.","Porque los bucles for no funcionan con ArrayList.","Para poder borrar elementos duplicados automáticamente.","20","2"
"40","¿Qué diferencia hay entre `Collection` (sin s) y `Collections` (con s)?","Son lo mismo, solo cambia el nombre por versión de Java.","`Collections` es la interfaz y `Collection` la clase.","`Collection` es la interfaz raíz de las estructuras, y `Collections` es una clase de utilidad con algoritmos (sort, max, etc.).","`Collection` se usa para Listas y `Collections` para Mapas.","20","3"
